"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","response to endogenous stimulus","GO:0009719","true","3.6513998494150014e-7","6.437540606687027","1489","107","29","21026","DDIT4,NPC1,HES1,FKBP1A,SPP1,AGL,FHL2,CCL2,AKT1,TXNIP,PCK2,GDF15,AKR1C1,TSC1,AKR1C2,LYN,ABCA2,CTSL,HIF1A,NCK1,GNAI2,TYMS,FEZ1,STMN2,SERPINB9,UFM1,ITGB5,PIK3CD,SRSF6"
"GO:BP","response to hormone","GO:0009725","false","0.000001645338527033772","5.783744732791794","907","107","22","21026","DDIT4,NPC1,HES1,SPP1,AGL,FHL2,AKT1,TXNIP,PCK2,GDF15,AKR1C1,TSC1,AKR1C2,LYN,ABCA2,CTSL,NCK1,GNAI2,TYMS,SERPINB9,UFM1,SRSF6"
"GO:BP","response to oxygen-containing compound","GO:1901700","false","0.0000225401754275234","4.647042708214095","1669","107","28","21026","DDIT4,NFKBIA,HES1,SPP1,CCL2,CASP7,AKT1,CBS,TXNIP,PCK2,ANO1,GDF15,AKR1C1,TSC1,AKR1C2,BAD,LYN,ABCA2,HIF1A,NCK1,GNAI2,SLC37A4,TYMS,APOD,RAB11FIP2,SASH1,GJA1,SRSF6"
"GO:BP","cellular response to chemical stimulus","GO:0070887","false","0.00004311024454143415","4.365419513618062","2192","107","32","21026","DDIT4,NFKBIA,NPC1,CLIC4,HES1,SPP1,MT1H,CCL2,CASP7,AKT1,CBS,PCK2,ANO1,GDF15,AKR1C1,TSC1,AKR1C2,BAD,LYN,CTSL,HIF1A,NCK1,GNAI2,SLC37A4,IFIH1,TPMT,SERPINB9,UFM1,RAB11FIP2,SASH1,GJA1,PIK3CD"
"GO:BP","biological regulation","GO:0065007","false","0.00005734722961822806","4.241487557546106","12743","107","91","21026","DDIT4,NFKBIA,KIF20A,NPC1,PHGDH,CLIC4,PAPSS2,GLRX,HES1,FKBP1A,ADGRE5,SV2C,SPP1,COG7,MAP3K4,MT1H,TSC22D3,SSBP2,FHL2,SKIV2L,CCL2,CYCS,CASP7,CCDC92,AKT1,AVEN,CBS,TXNIP,PCK2,ANO1,KIF2A,EIF1B,GDF15,CSRP1,USP18,RRM1,AKR1C1,TSC1,MYH10,RHOD,FXYD7,AKR1C2,BAD,DNM3,LYN,ABCA2,CTSL,TNK2,MCC,HIF1A,MXD1,AGR2,CDC42,NCK1,GNAI2,STK3,SLC37A4,IFIH1,TYMS,FEZ1,ZC3HAV1,KPNA2,APOD,COQ7,PSME2,DROSHA,SDF2L1,SLC25A44,FBXW4,STMN2,SERPINB9,UFM1,RFX5,ITGB5,PWP1,TCEA2,COLGALT1,RUNDC3A,EIF4EBP1,RAB11FIP2,SASH1,DDX47,SLC20A2,GJA1,PIK3CD,SRSF6,SLC1A4,NPPB,FBXO7,XK,IL15"
"GO:BP","transport","GO:0006810","false","0.00014117051557091073","3.8502559991904515","4407","107","47","21026","NFKBIA,KIF20A,NPC1,CLIC4,HES1,FKBP1A,SV2C,SPP1,COG7,CCL2,MFSD10,AKT1,MAIP1,TXNIP,PCK2,ANO1,AKR1C1,TSC1,MYH10,FXYD7,BAD,DNM3,LYN,ABCA2,CTSL,TNK2,HIF1A,AGR2,CDC42,GNAI2,STK3,SLC37A4,FEZ1,KPNA2,APOD,SLC25A44,UFM1,CABYR,RAB11FIP2,SLC20A2,GJA1,SLC35F2,PIK3CD,SLC1A4,NPPB,XK,IL15"
"GO:BP","response to chemical","GO:0042221","false","0.0003067814981172525","3.513170836078595","3909","107","43","21026","DDIT4,NFKBIA,NPC1,CLIC4,HES1,SPP1,AGL,MT1H,FHL2,CCL2,CASP7,AKT1,CBS,TXNIP,PCK2,ANO1,GDF15,USP18,AKR1C1,TSC1,AKR1C2,BAD,LYN,ABCA2,CTSL,HIF1A,CDC42,NCK1,GNAI2,SLC37A4,IFIH1,TYMS,APOD,SDF2L1,TPMT,SERPINB9,UFM1,RAB11FIP2,SASH1,GJA1,PIK3CD,SRSF6,IL15"
"GO:BP","anatomical structure development","GO:0048856","true","0.00034466984537087403","3.462596710679347","5997","107","56","21026","DDIT4,NFKBIA,NPC1,PHGDH,CLIC4,PAPSS2,HES1,FKBP1A,SPP1,MAP3K4,FHL2,CCL2,CASP7,AKT1,CBS,TXNIP,PCK2,ANO1,KIF2A,GDF15,CSRP1,RRM1,AKR1C1,TSC1,MYH10,AKR1C2,BAD,DNM3,LYN,ABCA2,CTSL,HIF1A,AGR2,CDC42,NCK1,STK3,SLC37A4,TYMS,FEZ1,APOD,DROSHA,FBXW4,STMN2,UFM1,ITGB5,CABYR,SASH1,SLC20A2,AATK,GJA1,PIK3CD,SRSF6,NPPB,FBXO7,XK,IL15"
"GO:BP","response to lipid","GO:0033993","false","0.0004062437935708319","3.391213260938681","930","107","19","21026","DDIT4,NFKBIA,NPC1,HES1,SPP1,AGL,CCL2,CASP7,AKT1,TXNIP,PCK2,AKR1C1,AKR1C2,BAD,LYN,ABCA2,TYMS,UFM1,SASH1"
"GO:BP","multicellular organism development","GO:0007275","false","0.00044454971791336464","3.352079660997576","4727","107","48","21026","DDIT4,NFKBIA,NPC1,PHGDH,CLIC4,PAPSS2,HES1,FKBP1A,SPP1,MAP3K4,FHL2,CCL2,CASP7,AKT1,CBS,PCK2,ANO1,KIF2A,RRM1,TSC1,BAD,DNM3,LYN,ABCA2,HIF1A,AGR2,CDC42,NCK1,STK3,SLC37A4,TYMS,FEZ1,APOD,DROSHA,FBXW4,STMN2,UFM1,ITGB5,SASH1,SLC20A2,AATK,GJA1,PIK3CD,SRSF6,NPPB,FBXO7,XK,IL15"
"GO:BP","apoptotic process","GO:0006915","false","0.00045359396607252056","3.343332731273082","1923","107","28","21026","DDIT4,NPC1,TSC22D3,FHL2,CCL2,CYCS,CASP7,MFSD10,AKT1,AVEN,CBS,TXNIP,BAD,LYN,CTSL,HIF1A,CDC42,NCK1,GNAI2,STK3,EMP3,SDF2L1,SERPINB9,UFM1,DDX47,PIK3CD,SRSF6,FBXO7"
"GO:BP","cell differentiation","GO:0030154","false","0.0005175755311781743","3.2860262634936954","4437","107","46","21026","DDIT4,NFKBIA,NPC1,PHGDH,CLIC4,HES1,SPP1,MAP3K4,FHL2,CCL2,CASP7,AKT1,TXNIP,PCK2,ANO1,KIF2A,GDF15,CSRP1,AKR1C1,TSC1,AKR1C2,BAD,DNM3,LYN,ABCA2,CTSL,HIF1A,AGR2,CDC42,NCK1,STK3,SLC37A4,TYMS,FEZ1,APOD,DROSHA,STMN2,ITGB5,CABYR,PWP1,GJA1,PIK3CD,SRSF6,FBXO7,XK,IL15"
